Match ID,Season,Current Rank,Map,Agent,Performance,Kills,Deaths,Assists,K/D,Damage Delta/Round,Kills/Round,Average Damage/Round,Econ Rating,First Kills,First Deaths,Entry Success Rate,Headshot Accuracy,Kills/Assists/Survived/Traded,Round Win %,TRN Score,Time Category,Day of Week,Result
a38f171c-5420-45a2-8e7d-9b3a21ca885c,V26: A3,Platinum 2,Lotus,Astra,4,19,18,8,1.1,2,0.8,145.6,58,2,3,0.4,0.159,0.75,0.458,631,Afternoon,Monday,defeat
a5de2f7d-94f3-4f29-b5ee-b3cbafb050ea,V26: A2,Platinum 2,Pearl,Astra,8,11,19,2,0.6,-70,0.5,82.4,34,0,5,0,0.122,0.58,0.458,208,Night,Thursday,defeat
a5e9ee3a-dbe7-4fe1-a43d-8c6bbb11b208,V26: A2,Platinum 2,Haven,Omen,2,23,14,4,1.6,51,1.1,188.4,61,3,0,1,0.133,0.81,0.381,782,Night,Tuesday,defeat
ab0e225d-41f4-41af-bd6f-7b9cd5588dd6,V26: A2,Gold 3,Haven,Omen,3,18,13,2,1.4,20,0.9,146.4,54,2,1,0.667,0.298,0.74,0.684,743,Night,Tuesday,victory
ab1bff2b-6f8c-4c72-8984-b3bacf79d838,V26: A1,Gold 2,Breeze,Viper,2,11,2,2,5.5,200,1.4,264.2,234,1,0,1,0.15,1,1,1000,Night,Monday,victory
b5ad9b72-f66a-4bfc-95eb-444f12fde306,V26: A1,Gold 3,Haven,Deadlock,6,16,14,6,1.1,8,0.7,126,53,0,0,0,0.179,0.91,0.565,738,Night,Saturday,victory
bbb662c3-500d-49f2-a2af-5cf653a3de9c,V26: A3,Platinum 2,Fracture,Vyse,3,14,7,4,2,71,0.9,168.1,84,2,2,0.5,0.191,0.88,0.812,874,Afternoon,Monday,victory
bc1b3235-f629-4472-a520-d0e61feaf5e2,V26: A3,Platinum 2,Pearl,Astra,9,8,13,6,0.6,-57,0.3,48.6,26,0,2,0,0.138,0.61,0.565,249,Afternoon,Monday,victory
bdcad35f-c6a1-41db-904c-b16203fa5485,V26: A3,Platinum 3,Haven,Omen,2,15,14,5,1.1,13,0.9,170.9,67,2,1,0.667,0.486,0.65,0.235,526,Afternoon,Saturday,defeat
c92211ea-18c5-40c6-8b11-2a5aed64f6a4,V26: A3,Platinum 2,Pearl,Astra,2,21,15,2,1.4,69,1.1,208.5,86,3,3,0.5,0.242,0.68,0.316,674,Afternoon,Friday,defeat
c9973593-8253-47a0-a6dd-f6cbaefc7f43,V26: A2,Platinum 2,Breeze,Astra,2,15,8,7,1.9,60,0.9,161,78,1,1,0.5,0.261,0.94,0.812,907,Afternoon,Friday,victory
cb0dd8b4-a83a-40b1-93c4-b4d2fb0f1805,V26: A1,Gold 2,Split,Brimstone,3,13,11,12,1.2,26,0.8,150.2,75,2,1,0.667,0.079,0.88,0.765,837,Night,Wednesday,victory
cbf9255c-1ed7-404a-a8f8-781e329d2457,V26: A3,Platinum 2,Breeze,Viper,5,14,9,3,1.6,40,0.7,130.6,70,2,0,1,0.3,0.89,0.684,795,Afternoon,Monday,victory
cc636d05-6dfe-4519-aa83-42a8200e2bc8,V26: A3,Platinum 2,Split,Astra,7,16,16,8,1,-12,0.8,123.2,48,2,1,0.667,0.148,0.71,0.381,481,Morning,Monday,defeat
cdf1764a-ab0f-4cba-8852-1c2113962c14,V26: A3,Platinum 2,Haven,Jett,7,13,18,6,0.7,-26,0.5,123.1,48,4,3,0.571,0.189,0.71,0.542,466,Afternoon,Monday,victory
ce77a3ab-b7bb-459f-b868-0cf39d190628,V26: A2,Platinum 2,Bind,Brimstone,3,16,11,10,1.4,62,1,195.5,97,2,1,0.667,0.092,0.81,0.812,897,Night,Friday,victory
cfa79ca7-dbe3-4808-a092-e7435b07cf2b,V26: A1,Gold 2,Abyss,Vyse,1,20,12,4,1.7,67,1.1,186.7,68,4,1,0.8,0.167,0.72,0.722,834,Night,Wednesday,victory
d227af40-1201-466d-a78c-919de89d56e2,V26: A3,Platinum 3,Lotus,Vyse,6,14,14,5,1,17,0.7,130.3,57,4,1,0.8,0.191,0.74,0.684,675,Afternoon,Thursday,victory
d5d74d3f-0134-42b3-bedc-709f95769bf4,V26: A3,Platinum 3,Pearl,Astra,8,18,15,15,1.2,10,0.7,114,52,3,0,1,0.175,0.77,0.462,575,Afternoon,Thursday,defeat
d7912805-6223-49c5-8872-e39e00780b5a,V26: A1,Unranked,Pearl,Chamber,9,15,18,5,0.8,-8,0.6,121.8,51,0,3,0,0.308,0.75,0.542,561,Night,Wednesday,victory
de480474-c66b-4f42-ad85-cd34b054be43,V26: A1,Gold 2,Pearl,Jett,2,22,11,2,2,52,1.2,178.2,82,3,2,0.6,0.194,0.84,0.684,915,Night,Friday,victory
de96e06e-24cb-48e2-aa7c-2a32e926d5bc,V26: A1,Gold 3,Abyss,Brimstone,6,17,19,17,0.9,-16,0.7,125.2,53,2,2,0.5,0.094,0.85,0.462,623,Afternoon,Sunday,defeat
e0c09d3d-87f5-4dd2-aa23-4ab87fc7862e,V26: A2,Platinum 1,Pearl,Astra,2,16,16,3,1,-12,0.9,156,72,2,1,0.667,0.117,0.67,0.278,464,Afternoon,Wednesday,defeat
