id,date and time,result,map,season
44134d78-f8ce-47cd-8b5b-093a5ba9736f,17/03/2026 2:00:29 PM,defeat,Corrode,V26: A1
94b6a626-edae-42e6-bdb4-dd472bc7d7ab,17/03/2026 1:25:36 PM,victory,Split,V26: A1
545a6eff-45bb-47ca-99d6-1a6be64c787c,01/03/2026 6:35:00 AM,victory,Breeze,V26: A1
de96e06e-24cb-48e2-aa7c-2a32e926d5bc,01/03/2026 5:50:02 AM,defeat,Abyss,V26: A1
b5ad9b72-f66a-4bfc-95eb-444f12fde306,27/02/2026 4:09:34 PM,victory,Haven,V26: A1
3d3678da-b85d-4ceb-8e3d-51a5c863c1d2,27/02/2026 3:27:18 PM,victory,Abyss,V26: A1
de480474-c66b-4f42-ad85-cd34b054be43,27/02/2026 2:50:07 PM,victory,Pearl,V26: A1
efca87ef-7677-4824-8f7e-5c70da6b9e67,27/02/2026 2:18:03 PM,defeat,Breeze,V26: A1
7977b25c-bca3-4a5c-90a3-80bf2b420772,25/02/2026 8:53:24 AM,defeat,Corrode,V26: A1
5e063533-f81d-4fbb-a1a0-6aa61ae21e69,25/02/2026 7:17:35 AM,defeat,Breeze,V26: A1
9b40acc8-565d-4b53-a8f3-4e4ba74f759e,25/02/2026 6:43:32 AM,victory,Bind,V26: A1
69d5fdcc-4cad-40b6-b4ba-8bd9421820ab,25/02/2026 5:54:54 AM,victory,Pearl,V26: A1
8a0112b6-5d2f-4ddd-bbf9-9c0403f4d996,25/02/2026 5:23:58 AM,defeat,Abyss,V26: A1
645b271c-edec-45fb-9c3e-15216d049c44,25/02/2026 4:28:36 AM,tied,Breeze,V26: A1
cfa79ca7-dbe3-4808-a092-e7435b07cf2b,18/02/2026 12:20:49 PM,victory,Abyss,V26: A1
cb0dd8b4-a83a-40b1-93c4-b4d2fb0f1805,18/02/2026 11:48:12 AM,victory,Split,V26: A1
02ae59b6-ae06-4388-9afc-f953bd6cc514,18/02/2026 11:00:14 AM,defeat,Pearl,V26: A1
3952779b-b2ea-4ba8-965e-8e462ba07aee,18/02/2026 10:20:48 AM,defeat,Haven,V26: A1
1a153cf6-2170-4604-af93-e9d6cf90efdd,16/02/2026 3:41:46 PM,victory,Pearl,V26: A1
714340c4-1512-4d59-93ce-0c5ae63f3dde,16/02/2026 3:02:12 PM,defeat,Abyss,V26: A1
ab1bff2b-6f8c-4c72-8984-b3bacf79d838,16/02/2026 2:44:11 PM,victory,Breeze,V26: A1
973f463e-43f3-4869-877e-125464624ae8,16/02/2026 2:21:37 PM,victory,Bind,V26: A1
